1
5000 200
1 25 0
1 49 0
1 73 1
1 97 2
1 121 0
1 145 14
1 169 11
1 193 19
1 217 20
1 241 23
1 265 4
1 289 7
1 313 27
1 337 62
1 361 84
1 385 20
1 409 94
1 433 81
1 457 133
1 481 195
1 505 208
1 529 164
1 553 115
1 577 21
1 601 111
1 625 181
1 649 94
1 673 147
1 697 336
1 721 279
1 745 434
1 769 3
1 793 439
1 817 553
1 841 458
1 865 47
1 889 214
1 913 306
1 937 348
1 961 746
1 985 759
1 1009 448
1 1033 489
1 1057 878
1 1081 295
1 1105 166
1 1129 444
1 1153 903
1 1177 95
1 1201 1198
1 1225 406
1 1249 581
1 1273 727
1 1297 884
1 1321 1390
1 1345 1459
1 1369 271
1 1393 628
1 1417 1066
1 1441 983
1 1465 34
1 1489 458
1 1513 1473
1 1537 1831
1 1561 140
1 1585 1944
1 1609 466
1 1633 1211
1 1657 2319
1 1681 339
1 1705 203
1 1729 2479
1 1753 1657
1 1777 1590
1 1801 865
1 1825 1714
1 1849 1154
1 1873 2912
1 1897 671
1 1921 3173
1 1945 1725
1 1969 122
1 1993 1296
1 2017 1753
1 2041 1815
1 2065 1325
1 2089 1754
1 2113 2196
1 2137 2375
1 2161 126
1 2185 993
1 2209 1782
1 2233 112
1 2257 477
1 2281 2259
1 2305 2373
1 2329 2447
1 2353 4311
1 2377 1914
1 2401 4536
1 2425 1219
1 2449 4725
1 2473 2183
1 2497 5118
1 2521 2798
1 2545 4805
1 2569 3842
1 2593 3992
1 2617 3597
1 2641 3409
1 2665 2215
1 2689 2081
1 2713 3035
1 2737 2753
1 2761 2330
1 2785 5246
1 2809 526
1 2833 3839
1 2857 382
1 2881 5794
1 2905 7317
1 2929 4601
1 2953 3845
1 2977 3962
1 3001 1150
1 3025 2703
1 3049 7024
1 3073 7282
1 3097 331
1 3121 5250
1 3145 5560
1 3169 3995
1 3193 1351
1 3217 2916
1 3241 6298
1 3265 3116
1 3289 3006
1 3313 96
1 3337 6354
1 3361 5298
1 3385 3060
1 3409 7495
1 3433 3201
1 3457 6278
1 3481 6473
1 3505 6522
1 3529 1199
1 3553 9993
1 3577 1047
1 3601 1611
1 3625 2110
1 3649 3754
1 3673 2073
1 3697 6232
1 3721 9061
1 3745 438
1 3769 1226
1 3793 4244
1 3817 11164
1 3841 8330
1 3865 12811
1 3889 453
1 3913 10407
1 3937 5339
1 3961 3787
1 3985 165
1 4009 1495
1 4033 3110
1 4057 10814
1 4081 10539
1 4105 2918
1 4129 1404
1 4153 1903
1 4177 13672
1 4201 14140
1 4225 4496
1 4249 3968
1 4273 5441
1 4297 6212
1 4321 2367
1 4345 803
1 4369 5923
1 4393 10265
1 4417 984
1 4441 7163
1 4465 2302
1 4489 17428
1 4513 1558
1 4537 17472
1 4561 5697
1 4585 17312
1 4609 15855
1 4633 15090
1 4657 9639
1 4681 8588
1 4705 16851
1 4729 15008
1 4753 7229
1 4777 9985
1 4801 7737
